m,TagName,
"2010-12-01 00:00:00","java","5668"
"2010-12-01 00:00:00","javascript","4955"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5375"
"2010-12-01 00:00:00","python","2473"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1022"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7978"
"2011-01-01 00:00:00","c++","3485"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6527"
"2011-01-01 00:00:00","javascript","5417"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","php","6403"
"2011-01-01 00:00:00","python","2894"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c","1633"
"2011-02-01 00:00:00","c#","8210"
"2011-02-01 00:00:00","c++","3436"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6858"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6687"
"2011-02-01 00:00:00","python","3008"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1246"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2108"
"2011-03-01 00:00:00","c#","9977"
"2011-03-01 00:00:00","c++","4172"
"2011-03-01 00:00:00","delphi","516"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8458"
"2011-03-01 00:00:00","javascript","6763"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8079"
"2011-03-01 00:00:00","python","3745"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1638"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2033"
"2011-04-01 00:00:00","c#","9266"
"2011-04-01 00:00:00","c++","4162"
"2011-04-01 00:00:00","delphi","401"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7889"
"2011-04-01 00:00:00","javascript","6878"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7628"
"2011-04-01 00:00:00","python","3335"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1822"
"2011-05-01 00:00:00","c#","9995"
"2011-05-01 00:00:00","c++","3875"
"2011-05-01 00:00:00","delphi","473"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8555"
"2011-05-01 00:00:00","javascript","7308"
"2011-05-01 00:00:00","perl","582"
"2011-05-01 00:00:00","php","8076"
"2011-05-01 00:00:00","python","3515"
"2011-05-01 00:00:00","r","426"
"2011-05-01 00:00:00","ruby","1564"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1761"
"2011-06-01 00:00:00","c#","9734"
"2011-06-01 00:00:00","c++","3805"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7879"
"2011-06-01 00:00:00","javascript","7672"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8008"
"2011-06-01 00:00:00","python","3462"
"2011-06-01 00:00:00","r","443"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","c#","9588"
"2011-07-01 00:00:00","c++","3847"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8142"
"2011-07-01 00:00:00","javascript","8099"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8650"
"2011-07-01 00:00:00","python","3657"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1582"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","10037"
"2011-08-01 00:00:00","c++","3952"
"2011-08-01 00:00:00","delphi","422"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8661"
"2011-08-01 00:00:00","javascript","8887"
"2011-08-01 00:00:00","perl","611"
"2011-08-01 00:00:00","php","8893"
"2011-08-01 00:00:00","python","3820"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1856"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1913"
"2011-09-01 00:00:00","c#","9279"
"2011-09-01 00:00:00","c++","3934"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8304"
"2011-09-01 00:00:00","javascript","8171"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8032"
"2011-09-01 00:00:00","python","3513"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1543"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9197"
"2011-10-01 00:00:00","c++","4337"
"2011-10-01 00:00:00","delphi","464"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8541"
"2011-10-01 00:00:00","javascript","8010"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","8035"
"2011-10-01 00:00:00","python","3611"
"2011-10-01 00:00:00","r","620"
"2011-10-01 00:00:00","ruby","1606"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2194"
"2011-11-01 00:00:00","c#","9880"
"2011-11-01 00:00:00","c++","4470"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9618"
"2011-11-01 00:00:00","javascript","8658"
"2011-11-01 00:00:00","perl","605"
"2011-11-01 00:00:00","php","8650"
"2011-11-01 00:00:00","python","3871"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1736"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2002"
"2011-12-01 00:00:00","c#","9300"
"2011-12-01 00:00:00","c++","4351"
"2011-12-01 00:00:00","delphi","572"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9176"
"2011-12-01 00:00:00","javascript","8314"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8313"
"2011-12-01 00:00:00","python","3616"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1682"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2230"
"2012-01-01 00:00:00","c#","10415"
"2012-01-01 00:00:00","c++","4539"
"2012-01-01 00:00:00","delphi","512"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10125"
"2012-01-01 00:00:00","javascript","9594"
"2012-01-01 00:00:00","perl","562"
"2012-01-01 00:00:00","php","9284"
"2012-01-01 00:00:00","python","4200"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1897"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","231"
"2012-02-01 00:00:00","c","2405"
"2012-02-01 00:00:00","c#","10742"
"2012-02-01 00:00:00","c++","5102"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10931"
"2012-02-01 00:00:00","javascript","9977"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9893"
"2012-02-01 00:00:00","python","4486"
"2012-02-01 00:00:00","r","813"
"2012-02-01 00:00:00","ruby","2040"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","261"
"2012-03-01 00:00:00","c","2722"
"2012-03-01 00:00:00","c#","11576"
"2012-03-01 00:00:00","c++","5222"
"2012-03-01 00:00:00","delphi","495"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12365"
"2012-03-01 00:00:00","javascript","10688"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10853"
"2012-03-01 00:00:00","python","5025"
"2012-03-01 00:00:00","r","888"
"2012-03-01 00:00:00","ruby","2188"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","277"
"2012-04-01 00:00:00","c","2663"
"2012-04-01 00:00:00","c#","11110"
"2012-04-01 00:00:00","c++","5292"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11998"
"2012-04-01 00:00:00","javascript","10657"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10376"
"2012-04-01 00:00:00","python","4911"
"2012-04-01 00:00:00","r","839"
"2012-04-01 00:00:00","ruby","1965"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2481"
"2012-05-01 00:00:00","c#","11561"
"2012-05-01 00:00:00","c++","4986"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12164"
"2012-05-01 00:00:00","javascript","11511"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10908"
"2012-05-01 00:00:00","python","5086"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1974"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2308"
"2012-06-01 00:00:00","c#","11313"
"2012-06-01 00:00:00","c++","4645"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11093"
"2012-06-01 00:00:00","javascript","11223"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10555"
"2012-06-01 00:00:00","python","5269"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","ruby","1886"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2369"
"2012-07-01 00:00:00","c#","12312"
"2012-07-01 00:00:00","c++","5270"
"2012-07-01 00:00:00","delphi","439"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12238"
"2012-07-01 00:00:00","javascript","12313"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11708"
"2012-07-01 00:00:00","python","5721"
"2012-07-01 00:00:00","r","1118"
"2012-07-01 00:00:00","ruby","2059"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2314"
"2012-08-01 00:00:00","c#","11935"
"2012-08-01 00:00:00","c++","5157"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12243"
"2012-08-01 00:00:00","javascript","12432"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11870"
"2012-08-01 00:00:00","python","5860"
"2012-08-01 00:00:00","r","1088"
"2012-08-01 00:00:00","ruby","2059"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","222"
"2012-09-01 00:00:00","c","2528"
"2012-09-01 00:00:00","c#","11263"
"2012-09-01 00:00:00","c++","4908"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11612"
"2012-09-01 00:00:00","javascript","11164"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10969"
"2012-09-01 00:00:00","python","5247"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1954"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3151"
"2012-10-01 00:00:00","c#","12712"
"2012-10-01 00:00:00","c++","5907"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13469"
"2012-10-01 00:00:00","javascript","12414"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11748"
"2012-10-01 00:00:00","python","6130"
